policy_id,period,region,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,premium_rate,exposure,currency,gwp_usd,nep_usd,claims_paid_usd,currency_rating
P-00001,2024-02-01,Caribbean,Agriculture,5458357,4588435,2673967,0.5827623143838804,0.8289975325133463,AgriProtect,Market,1.318,5440172,USD,5458357.0,4588435.0,2673967.0,AAA
P-00002,2024-02-01,Caribbean,Engineering,6413472,4807625,1390121,0.2891492160890253,0.7250136234763882,Acentria Reinsurance,Market,0.666,8577641,USD,6413472.0,4807625.0,1390121.0,AAA
P-00003,2024-04-01,Nordics,Marine,5581306,3774966,2536115,0.6718245939168723,1.0326688762549114,Coastal Mutual,Nat Cat,1.018,5849775,KES,40743.5338,27557.251800000002,18513.6395,BBB
P-00004,2024-03-01,Latin America,Motor,3356240,2097461,816238,0.38915526915637527,0.5104789923273382,Munich Re,Liability,0.405,3195742,KES,24500.552,15311.4653,5958.5374,BBB
P-00005,2024-03-01,Africa,Liability,595535,485083,77973,0.1607415638148523,0.5750901840797693,SCOR,Operational,1.264,536936,KES,4347.4055,3541.1059,569.2029,BBB
P-00006,2024-02-01,Caribbean,Engineering,1214036,1049398,514349,0.4901372024722746,0.8820241360298864,Swiss Re,Political,1.255,1182583,EUR,1323299.24,1143843.82,560640.41,AA+
P-00007,2024-03-01,North America,Motor,5523828,3968951,1400646,0.35290080426792875,0.6298440820128033,Kenya Reinsurance Corporation,Agriculture,0.674,7378991,KES,40323.9444,28973.3423,10224.7158,BBB
P-00008,2024-02-01,Latin America,Liability,1358485,899444,309887,0.34453173293723677,0.8123965045839454,Kenya Reinsurance Corporation,Agriculture,1.334,1379007,USD,1358485.0,899444.0,309887.0,AAA
P-00009,2024-02-01,Caribbean,Marine,5486699,3773107,1461850,0.38743931725233344,0.4410041688008944,Aspire Re,Operational,0.576,6378482,EUR,5980501.91,4112686.6300000004,1593416.5000000002,AA+
P-00010,2024-04-01,Australia & Pacific,Energy,6676363,4354963,1796123,0.41243128816479036,0.5321745232221197,Acentria Reinsurance,Operational,0.759,7810389,KES,48737.4499,31791.229900000002,13111.6979,BBB
P-00011,2024-02-01,North America,Agriculture,3761576,3056006,2289915,0.749316264431418,0.9788193978239443,Partner Re,Political,0.78,4240721,KES,27459.5048,22308.8438,16716.3795,BBB
P-00012,2024-01-01,Africa,Agriculture,6649497,5701895,3165313,0.5551335126304501,0.63106297055629,Acentria Reinsurance,Cyber,0.998,6323656,EUR,7247951.73,6215065.550000001,3450191.1700000004,AA+
P-00013,2024-01-01,Middle East & Africa,Motor,6923381,4784844,1067118,0.22302043702992197,0.3623167763846341,Acentria Reinsurance,Market,0.477,9631441,EUR,7546485.290000001,5215479.96,1163158.62,AA+
P-00014,2024-03-01,Africa,Marine,7025809,6105979,3039574,0.49780289123169275,0.8174107433164095,Metro Insurers Ltd,Agriculture,0.789,8487167,KES,51288.4057,44573.6467,22188.8902,BBB
P-00015,2024-04-01,Asia Pacific,Engineering,4362044,3852099,2123965,0.5513786120242496,0.838248745169269,Aspire Re,Political,0.819,5725383,USD,4362044.0,3852099.0,2123965.0,AAA
P-00016,2024-01-01,Africa,Accident & Health,7430732,6476622,1528278,0.23596837981280983,0.6529228066986783,Partner Re,Operational,0.598,6925527,KES,54244.3436,47279.3406,11156.4294,BBB
P-00017,2024-03-01,Latin America,Property,4025609,3544555,2051074,0.578654866407772,0.9031323426277036,AgriProtect,Health,0.708,4301450,KES,29386.9457,25875.2515,14972.8402,BBB
P-00018,2024-01-01,Caribbean,Engineering,5607201,3952810,1747449,0.4420776612081026,0.6212161176975286,Partner Re,Cyber,0.775,6631212,EUR,6111849.090000001,4308562.9,1904719.4100000001,AA+
P-00019,2024-01-01,Australia & Pacific,Liability,2920083,2138547,933827,0.4366642397852374,0.6708976135656342,Swiss Re,Weather,0.636,3536992,EUR,3182890.47,2331016.23,1017871.43,AA+
P-00020,2024-03-01,Australia & Pacific,Accident & Health,833929,588607,282295,0.47959844174466154,0.676641789283295,Munich Re,Market,1.226,786830,KES,6087.6817,4296.8311,2060.7535,BBB
P-00021,2024-02-01,Nordics,Property,4879801,3052617,2514897,0.8238495035571118,1.2772092761621263,Hannover Re,Nat Cat,0.799,5613842,USD,4879801.0,3052617.0,2514897.0,AAA
P-00022,2024-03-01,Nordics,Energy,3987441,2318978,359001,0.1548100068219707,0.3464037001800755,Coastal Mutual,Health,0.437,5809770,USD,3987441.0,2318978.0,359001.0,AAA
P-00023,2024-03-01,Caribbean,Motor,3329174,2691219,806472,0.2996679200020511,0.7550605495191789,Aspire Re,Operational,1.054,3576467,EUR,3628799.66,2933428.7100000004,879054.4800000001,AA+
P-00024,2024-02-01,North America,Marine,3893514,3396291,546454,0.16089728471441345,0.35057654637956415,Africa Re,Agriculture,0.379,5428080,EUR,4243930.260000001,3701957.1900000004,595634.86,AA+
P-00025,2024-04-01,Caribbean,Property,3866257,2547559,2418956,0.9495191279181365,1.3009460886568356,SCOR,Agriculture,0.579,3661004,EUR,4214220.13,2776839.31,2636662.04,AA+
P-00026,2024-03-01,Africa,Agriculture,251012,167831,78448,0.46742258581549295,0.9381217918652557,Acentria Reinsurance,Market,0.618,278655,KES,1832.3876,1225.1663,572.6704,BBB
P-00027,2024-01-01,Africa,Property,7806583,4879830,4679521,0.9589516438072638,1.35,Hollard Re,Weather,1.08,8425767,EUR,8509175.47,5319014.7,5100677.890000001,AA+
P-00028,2024-03-01,Caribbean,Energy,3950836,2242125,1712953,0.7639863968333612,0.8445640150898461,Kenya Reinsurance Corporation,Weather,0.37,4183023,KES,28841.1028,16367.5125,12504.5569,BBB
P-00029,2024-02-01,Latin America,Energy,2554950,2085362,1227116,0.5884426780578145,0.8883763530690549,Partner Re,Weather,0.549,3288453,USD,2554950.0,2085362.0,1227116.0,AAA
P-00030,2024-01-01,Africa,Energy,6748240,4441869,3407932,0.7672292901929345,1.1428126802367558,Hollard Re,Operational,1.348,8459790,USD,6748240.0,4441869.0,3407932.0,AAA
P-00031,2024-04-01,Asia Pacific,Engineering,2083277,1721548,1166342,0.6774960674927449,0.8724151863108075,Hollard Re,Political,1.003,2290501,USD,2083277.0,1721548.0,1166342.0,AAA
P-00032,2024-03-01,Caribbean,Accident & Health,5068133,4134992,1659149,0.4012459999922612,0.7848740630828477,Munich Re,Liability,1.151,5185564,EUR,5524264.970000001,4507141.28,1808472.4100000001,AA+
P-00033,2024-04-01,Caribbean,Motor,4732280,4027699,1654239,0.410715646824651,0.473974922808184,Hannover Re,Operational,0.654,5050482,USD,4732280.0,4027699.0,1654239.0,AAA
P-00034,2024-04-01,Kenya,Property,583558,385097,226912,0.5892333619841235,0.9837528057948401,Munich Re,Weather,0.509,701725,EUR,636078.2200000001,419755.73000000004,247334.08000000002,AA+
P-00035,2024-03-01,Africa,Liability,5468217,4485762,2657625,0.5924578700341213,0.7334849112655693,AgriProtect,Health,0.627,6470643,KES,39917.9841,32746.0626,19400.6625,BBB
P-00036,2024-04-01,Nordics,Marine,3052278,2432827,249473,0.10254448836682592,0.5782178521100906,Kenya Reinsurance Corporation,Liability,0.567,2984261,KES,22281.6294,17759.6371,1821.1529,BBB
P-00037,2024-02-01,Kenya,Liability,5221357,4412997,532861,0.12074809930756808,0.44407735883191385,Partner Re,Weather,0.734,7170955,USD,5221357.0,4412997.0,532861.0,AAA
P-00038,2024-02-01,Caribbean,Energy,3372249,2390345,783347,0.3277129452024708,0.677615141076015,Africa Re,Health,0.438,4409944,KES,24617.4177,17449.518500000002,5718.4331,BBB
P-00039,2024-01-01,Middle East & Africa,Liability,1008789,794700,415962,0.5234201585503964,0.5961835639243487,Munich Re,Health,0.529,1298269,KES,7364.1597,5801.31,3036.5226000000002,BBB
