policy_id,period,region,country,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,exposure,premium_rate,ceded_premium,commission,retention,treaty_type,currency,underwriter,claim_status,cause_of_loss,settlement_date,reserve,broker,gwp_usd,nep_usd,claims_paid_usd,continent
POL-2025-000000-1CC6,2025-05-21,Asia Pacific,Australia,Property,217920.09,191310.85,141723.08,0.7408,1.0118,Summit Holdings of Australia,High,25936927.22,0.008402,4467.15,724.79,3014073.46,Quota Share,GBP,Shannon Jones,Closed,Mortality,2026-05-30,0.0,Lockton,217920.09,191310.85,141723.08,Asia
POL-2008-000001-5111,2008-02-19,Asia Pacific,China,Credit,117931.64,53972.15,0.0,,,United PLC of China,Low,16322231.16,0.007225,30510.39,6928.62,3146912.6,Aggregate XL,JPY,Cassandra Gaines,,,,0.0,Aon,117931.64,53972.15,0.0,Asia
POL-2008-000002-B779,2008-08-20,Latin America,Argentina,Health,228240.06,105799.33,51873.41,0.4903,0.8395,Royal Mutual of Argentina,Low,4646453.38,0.049121,73518.08,6078.51,3648342.72,Excess of Loss,USD,Paula Moreno,Closed,Political Violence,2010-04-22,0.0,Brown & Brown,228240.06,105799.33,51873.41,South America
POL-2015-000003-BF8C,2015-07-22,Europe,Netherlands,Professional Indemnity,2278727.99,1216944.05,1120197.0,0.9205,1.1247,"Cunningham, Stewart and Green",Low,65393737.58,0.034846,423212.09,105576.67,254772.14,Quota Share,EUR,Shannon Jones,Pending,Business Interruption,,1675081.72,Amwins,2278727.99,1216944.05,1120197.0,Europe
POL-2021-000004-A0B5,2021-01-06,Asia Pacific,South Korea,Political Risk,145825.18,108060.4,101760.48,0.9417,1.2683,Summit Assurance of South Korea,High,10806297.69,0.013494,25804.89,5004.5,3613239.39,Aggregate XL,INR,Megan Young,Closed,Machinery Breakdown,2023-04-13,0.0,Gallagher,145825.18,108060.4,101760.48,Asia
POL-2021-000005-9A38,2021-06-15,North America,United States,Catastrophe,383699.07,109330.99,50893.58,0.4655,0.73,Summit Assurance of United States,Specialty,53130619.5,0.007222,265210.05,65134.77,399977.19,Excess of Loss,USD,Carol Tucker,Closed,Political Violence,2023-01-18,0.0,Amwins,383699.07,109330.99,50893.58,North America
POL-2011-000006-F34D,2011-07-24,Asia Pacific,Hong Kong,Life,1636453.93,841450.32,0.0,,,Global Underwriters of Hong Kong,High,34468795.39,0.047476,593803.76,38121.38,1108884.75,Quota Share,INR,Rebecca Henderson,,,,0.0,Howden,1636453.93,841450.32,0.0,Asia
POL-2011-000007-2C2F,2011-10-20,Asia Pacific,Malaysia,Energy,1037071.75,433704.03,365655.87,0.8431,1.027,Global Holdings  Malaysia,Low,14977256.99,0.069243,356997.41,63986.77,3270742.89,Excess of Loss,JPY,Matthew Foster,Pending,Earthquake,,231918.76,CRC Group,1037071.75,433704.03,365655.87,Asia
POL-2012-000008-23EF,2012-10-08,Asia Pacific,Japan,Workers Compensation,54311.96,18943.28,0.0,,,Pacific Holdings of Japan,High,1640512.12,0.033107,23047.43,5312.17,12988.27,Facultative,USD,Whitney Peters,,,,0.0,Local Broker Partners,54311.96,18943.28,0.0,Asia
POL-2009-000009-3043,2009-04-22,Asia Pacific,Singapore,Life,463172.82,239344.2,0.0,,,Pacific Re of Singapore,Medium,6775011.93,0.068365,196995.33,13006.08,4804286.73,Facultative,EUR,Brittney Phillips,,,,0.0,Gallagher,463172.82,239344.2,0.0,Asia
