policy_id,period,region,sub_region,country,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,exposure,premium_rate,ceded_premium,commission,retention,treaty_type,currency,underwriter,claim_status,cause_of_loss,settlement_date,reserve,broker,gwp_usd,nep_usd,claims_paid_usd,continent
AFR-POL-2006-000000-D862,2006-02-14,Africa,North Africa,Tunisia,Health,17342.32,5545.0,0.0,,,Continental Insurance  Tunisia,Specialty,2134598.27,0.008124,11466.34,2687.39,1404600.21,Facultative,MAD,Brandon Russell,,,,0.0,Lockton,17342.32,5545.0,0.0,Africa
AFR-POL-2008-000001-922A,2008-02-17,Africa,Central Africa,Angola,Casualty,36760.68,19251.89,0.0,,,"Lynch, Simpson and Dominguez (Angola)",Emerging,5802136.67,0.006336,8503.54,1583.8,1306567.28,Stop Loss,EUR,Hannah Pitts,,,,0.0,Independent African Agents,36760.68,19251.89,0.0,Africa
AFR-POL-2024-000002-6E47,2024-09-23,Africa,West Africa,Ivory Coast,Professional Indemnity,67583.56,47033.22,0.0,,,National Ltd  Ivory Coast,High,848477.42,0.079653,14700.28,2441.17,845605.8,Quota Share,XOF,Shawn Brown,,,,0.0,Aon,67583.56,47033.22,0.0,Africa
AFR-POL-2016-000003-E226,2016-06-29,Africa,North Africa,Tunisia,Property,59942.45,28948.08,10068.14,0.3478,0.634,Continental PLC  Tunisia,Catastrophic,650317.49,0.092174,28505.88,8430.57,5178.99,Quota Share,MAD,Thomas Berry,Settled,Natural Catastrophe,2018-01-26,0.0,Local Broker Network,59942.45,28948.08,10068.14,Africa
AFR-POL-2018-000004-69E4,2018-08-04,Africa,North Africa,Morocco,Microinsurance,2433.61,587.61,598.19,1.018,1.3792,Pan-African Insurance  Morocco,Low,36597.41,0.066497,1433.1,216.31,93.54,Aggregate XL,EUR,Robert Clark,In Litigation,Storm,,450.05,African Risk Capacity,2433.61,587.61,598.19,Africa
AFR-POL-2012-000005-C9C8,2012-11-17,Africa,West Africa,Senegal,Marine,4220.94,1310.87,1081.07,0.8247,1.1677,Guardian Assurance  Senegal,Emerging,88059.91,0.047933,2092.09,405.37,2437449.27,Excess of Loss,USD,Antonio Taylor,In Litigation,Crop Failure,,713.66,Marsh,4220.94,1310.87,1081.07,Africa
AFR-POL-2005-000006-0E18,2005-09-25,Africa,North Africa,Morocco,Cyber,80942.84,28167.51,0.0,,,Vazquez LLC (Morocco),Specialty,1168312.02,0.069282,40966.63,5469.56,2324890.69,Quota Share,MAD,William Baker,,,,0.0,Gallagher,80942.84,28167.51,0.0,Africa
AFR-POL-2005-000007-7097,2005-05-18,Africa,West Africa,Senegal,Liability,20271.49,12643.99,0.0,,,Cox-Caldwell (Senegal),Medium,311707.74,0.065034,2298.9,553.4,2285.31,Proportional,EUR,Mark Villanueva,,,,0.0,Willis Towers Watson,20271.49,12643.99,0.0,Africa
AFR-POL-2005-000008-20EB,2005-11-08,Africa,West Africa,Nigeria,Catastrophe,433358.96,129583.34,352414.85,2.7196,3.0381,Sahara Assurance  Nigeria,Low,11046682.92,0.03923,251434.13,65001.08,1125371.88,Proportional,USD,Cynthia Webb,Closed,Motor Accident,2008-01-07,0.0,Independent African Agents,433358.96,129583.34,352414.85,Africa
AFR-POL-2016-000009-B9B8,2016-05-31,Africa,Central Africa,Angola,Marine,11621.78,2819.82,4618.87,1.638,1.9092,Stewart-Robinson (Angola),Emerging,166796.08,0.069677,7564.52,1681.62,943.95,Facultative,ZAR,Jacqueline Young,Open,Theft,,1923.8,Howden,11621.78,2819.82,4618.87,Africa
