policy_id,period,region,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,exposure,premium_rate,gwp_usd,nep_usd,claims_paid_usd,continent
POL-108548,2016-01-01,Egypt,Engineering,1774077.35,1449231.07,783401.9,0.5406,0.7636,AgriProtect,Cyber,13391532.45,0.01862,1774077.35,1449231.07,783401.9,Other
POL-103557,2016-01-01,Rwanda,Aviation,235310.94,206341.97,136860.3,0.6633,0.9221,Metro Insurers,Market,1256579.93,0.00933,235310.94,206341.97,136860.3,Other
POL-100320,2016-01-01,Egypt,Liability,1202809.83,1079035.01,574525.31,0.5324,0.7583,Zenith Cover,Weather,6806465.31,0.01151,1202809.83,1079035.01,574525.31,Other
POL-100969,2016-01-01,Nigeria,Liability,991138.02,830783.37,584335.17,0.7034,0.9474,AgriProtect,Market,7712107.6,0.01105,991138.02,830783.37,584335.17,Other
POL-107471,2016-01-01,Ghana,Motor,838293.08,617725.19,307320.95,0.4975,0.6915,Pinnacle Assurance,Cyber,3077299.77,0.0345,838293.08,617725.19,307320.95,Other
POL-102756,2016-01-01,South Africa,Marine,1602881.53,1475595.85,1130922.13,0.7664,0.9592,AgriProtect,Credit,11404045.72,0.03386,1602881.53,1475595.85,1130922.13,Other
POL-112366,2016-01-01,Ethiopia,Marine,495979.77,393948.08,233054.45,0.5916,0.7637,Acentria Group,Credit,3385201.96,0.02307,495979.77,393948.08,233054.45,Other
POL-107235,2016-01-01,Tanzania,Property,867379.2,717298.95,480835.54,0.6703,0.8954,Acentria Group,Nat Cat,3585720.13,0.02332,867379.2,717298.95,480835.54,Other
POL-109230,2016-01-01,Uganda,Marine,238788.98,207993.2,84787.62,0.4076,0.5804,Zenith Cover,Nat Cat,1603085.03,0.0201,238788.98,207993.2,84787.62,Other
POL-101893,2016-01-01,Nigeria,Agriculture,892229.78,700307.85,412666.28,0.5893,0.8457,Zenith Cover,Market,3534717.7,0.01254,892229.78,700307.85,412666.28,Other
POL-106156,2016-01-02,Rwanda,Aviation,1207347.92,1055616.9,466138.34,0.4416,0.6038,Acentria Group,Operational,7102693.94,0.02141,1207347.92,1055616.9,466138.34,Other
POL-102262,2016-01-02,Ethiopia,Engineering,1224644.82,945186.3,545462.92,0.5771,0.8454,Pinnacle Assurance,Operational,5111797.38,0.01313,1224644.82,945186.3,545462.92,Other
POL-102100,2016-01-02,Nigeria,Marine,263857.07,211795.5,105502.56,0.4981,0.7526,Zenith Cover,Nat Cat,1880584.75,0.01983,263857.07,211795.5,105502.56,Other
POL-114685,2016-01-02,Ghana,Property,534912.58,491262.86,314788.0,0.6408,0.9454,Continental Re,Credit,2334545.2,0.03566,534912.58,491262.86,314788.0,Other
POL-108741,2016-01-02,Ethiopia,Agriculture,704900.55,631415.49,282996.14,0.4482,0.7668,Pinnacle Assurance,Nat Cat,3159895.89,0.03372,704900.55,631415.49,282996.14,Other
POL-116208,2016-01-02,Tanzania,Agriculture,753857.83,657856.29,424676.55,0.6455,0.9206,AgriProtect,Weather,4488747.88,0.01918,753857.83,657856.29,424676.55,Other
POL-108553,2016-01-02,Rwanda,Cyber,1278631.85,1149537.77,592194.67,0.5152,0.7802,AgriProtect,Credit,10081626.88,0.01491,1278631.85,1149537.77,592194.67,Other
POL-105929,2016-01-02,Ethiopia,Aviation,73255.29,52925.76,30976.31,0.5853,0.8008,AgriProtect,Cyber,553519.2,0.02503,73255.29,52925.76,30976.31,Other
POL-103172,2016-01-03,Ethiopia,Aviation,1719105.62,1395839.51,657486.57,0.471,0.6366,Coastal Mutual,Credit,10106486.35,0.03865,1719105.62,1395839.51,657486.57,Other
POL-115369,2016-01-03,Uganda,Agriculture,238746.67,214266.62,129367.16,0.6038,0.8701,Acentria Group,Market,1517466.76,0.00818,238746.67,214266.62,129367.16,Other
POL-100137,2016-01-03,Tanzania,Aviation,1384185.79,1014781.45,513663.22,0.5062,0.8121,AgriProtect,Market,10125287.42,0.03914,1384185.79,1014781.45,513663.22,Other
POL-104827,2016-01-03,Ghana,Liability,1793018.27,1409116.36,821155.05,0.5827,0.8939,Continental Re,Cyber,11623995.49,0.03956,1793018.27,1409116.36,821155.05,Other
POL-113562,2016-01-03,Egypt,Liability,853732.61,644959.69,333502.32,0.5171,0.6756,AgriProtect,Cyber,3476354.59,0.01846,853732.61,644959.69,333502.32,Other
POL-106909,2016-01-04,Ethiopia,Aviation,279815.84,217985.2,108781.6,0.499,0.7489,Continental Re,Credit,1333495.2,0.01691,279815.84,217985.2,108781.6,Other
POL-109376,2016-01-04,Nigeria,Agriculture,1442877.23,1044794.54,420588.42,0.4026,0.6684,Metro Insurers,Credit,11538304.05,0.02979,1442877.23,1044794.54,420588.42,Other
POL-111840,2016-01-05,Egypt,Agriculture,1499754.32,1349458.71,861802.46,0.6386,0.8124,SunTrust Re,Credit,7326776.2,0.04389,1499754.32,1349458.71,861802.46,Other
POL-109527,2016-01-05,Egypt,Engineering,252681.97,216699.52,121957.68,0.5628,0.7954,Metro Insurers,Nat Cat,1437147.85,0.02996,252681.97,216699.52,121957.68,Other
POL-114711,2016-01-05,Kenya,Motor,1741377.78,1412075.79,897852.75,0.6358,0.8115,AgriProtect,Nat Cat,13447687.44,0.01112,1741377.78,1412075.79,897852.75,Africa
POL-107771,2016-01-05,Zambia,Aviation,973113.94,896732.45,581685.19,0.6487,0.843,Zenith Cover,Operational,5355614.72,0.02014,973113.94,896732.45,581685.19,Other
POL-114944,2016-01-05,Kenya,Agriculture,589772.12,533739.19,306245.37,0.5738,0.8833,Zenith Cover,Market,4553539.21,0.03251,589772.12,533739.19,306245.37,Africa
POL-114305,2016-01-05,Ghana,Engineering,203471.94,147519.38,76865.15,0.5211,0.6784,Metro Insurers,Nat Cat,974220.8,0.03369,203471.94,147519.38,76865.15,Other
POL-112941,2016-01-06,Uganda,Agriculture,1227481.4,982381.59,608908.8,0.6198,0.9391,SunTrust Re,Cyber,6426014.13,0.00976,1227481.4,982381.59,608908.8,Other
POL-111334,2016-01-06,Rwanda,Marine,1028618.22,872178.57,502756.46,0.5764,0.8198,AgriProtect,Operational,5818685.7,0.0159,1028618.22,872178.57,502756.46,Other
POL-111970,2016-01-06,Kenya,Aviation,627630.45,500218.24,254367.36,0.5085,0.7535,Pinnacle Assurance,Cyber,3633555.12,0.03875,627630.45,500218.24,254367.36,Africa
POL-108097,2016-01-06,Kenya,Cyber,676158.94,517114.17,288666.83,0.5582,0.8741,Metro Insurers,Cyber,2210649.6,0.02829,676158.94,517114.17,288666.83,Africa
POL-103941,2016-01-06,Ghana,Aviation,1680378.19,1290614.0,721365.21,0.5589,0.818,Pinnacle Assurance,Nat Cat,12402242.62,0.04119,1680378.19,1290614.0,721365.21,Other
POL-106877,2016-01-06,Ethiopia,Marine,1401604.98,1048197.19,649746.24,0.6199,0.7877,Coastal Mutual,Nat Cat,10386887.67,0.02951,1401604.98,1048197.19,649746.24,Other
POL-112741,2016-01-07,Ghana,Engineering,624125.38,463362.54,245749.88,0.5304,0.8027,SunTrust Re,Market,3657663.65,0.03534,624125.38,463362.54,245749.88,Other
POL-101979,2016-01-07,South Africa,Motor,371582.95,347458.02,181426.96,0.5222,0.7459,SunTrust Re,Market,2301666.69,0.01771,371582.95,347458.02,181426.96,Other
POL-108017,2016-01-07,Uganda,Liability,912493.61,767974.44,429423.48,0.5592,0.7933,Metro Insurers,Operational,3322203.84,0.03778,912493.61,767974.44,429423.48,Other
POL-102952,2016-01-07,Kenya,Property,853137.34,673304.05,432566.34,0.6425,0.9213,Metro Insurers,Market,6043638.3,0.03925,853137.34,673304.05,432566.34,Africa
POL-103481,2016-01-07,Rwanda,Marine,1242378.93,1116976.66,644270.46,0.5768,0.7308,Continental Re,Credit,8079263.06,0.03791,1242378.93,1116976.66,644270.46,Other
POL-104310,2016-01-07,Kenya,Agriculture,297099.41,219799.73,119617.82,0.5442,0.7884,Acentria Group,Operational,1943303.46,0.01089,297099.41,219799.73,119617.82,Africa
POL-108598,2016-01-07,Ghana,Aviation,779873.36,604660.18,323191.13,0.5345,0.8383,Zenith Cover,Weather,5478141.58,0.03798,779873.36,604660.18,323191.13,Other
POL-103782,2016-01-08,Uganda,Liability,870906.51,796334.29,340848.68,0.428,0.6342,SunTrust Re,Credit,4381184.12,0.03946,870906.51,796334.29,340848.68,Other
POL-113936,2016-01-08,Tanzania,Engineering,765963.43,555278.66,316848.82,0.5706,0.7765,SunTrust Re,Market,5776699.83,0.04315,765963.43,555278.66,316848.82,Other
POL-110670,2016-01-08,Rwanda,Motor,1360552.96,1049804.8,633301.29,0.6033,0.7636,SunTrust Re,Operational,6384250.58,0.02573,1360552.96,1049804.8,633301.29,Other
POL-116040,2016-01-08,Ethiopia,Agriculture,1084753.89,835311.04,444634.53,0.5323,0.8449,Pinnacle Assurance,Operational,5857650.84,0.03816,1084753.89,835311.04,444634.53,Other
POL-100289,2016-01-08,Nigeria,Liability,413602.94,304557.69,188867.64,0.6201,0.8584,Pinnacle Assurance,Credit,3008457.5,0.04384,413602.94,304557.69,188867.64,Other
POL-103446,2016-01-09,Nigeria,Liability,1514738.09,1205512.12,655578.06,0.5438,0.7329,Acentria Group,Nat Cat,8716124.63,0.03219,1514738.09,1205512.12,655578.06,Other
POL-116398,2016-01-09,Zambia,Aviation,124850.25,104588.0,61964.45,0.5925,0.8911,Acentria Group,Cyber,662984.9,0.02807,124850.25,104588.0,61964.45,Other
POL-105411,2016-01-09,Uganda,Motor,1796154.48,1617490.19,933944.34,0.5774,0.7539,Pinnacle Assurance,Market,13745258.65,0.04048,1796154.48,1617490.19,933944.34,Other
POL-103002,2016-01-09,Ghana,Agriculture,214664.29,167503.91,107998.14,0.6447,0.7999,Pinnacle Assurance,Operational,1371257.68,0.03644,214664.29,167503.91,107998.14,Other
POL-102357,2016-01-09,Tanzania,Motor,921402.48,768483.3,397526.43,0.5173,0.6919,Coastal Mutual,Credit,6902481.33,0.04063,921402.48,768483.3,397526.43,Other
POL-107652,2016-01-10,Uganda,Liability,827550.74,748698.33,410157.7,0.5478,0.728,Metro Insurers,Cyber,4101300.41,0.04258,827550.74,748698.33,410157.7,Other
POL-106068,2016-01-10,Nigeria,Property,148249.46,109267.0,71391.08,0.6534,0.8899,Continental Re,Credit,701715.05,0.02152,148249.46,109267.0,71391.08,Other
POL-109360,2016-01-11,Uganda,Aviation,1708344.02,1388683.24,869538.43,0.6262,0.8604,Continental Re,Nat Cat,7737398.41,0.01866,1708344.02,1388683.24,869538.43,Other
POL-110640,2016-01-11,South Africa,Liability,354434.79,268372.53,104287.41,0.3886,0.6528,Continental Re,Cyber,1830952.79,0.03122,354434.79,268372.53,104287.41,Other
POL-114878,2016-01-11,Uganda,Property,257908.56,216308.86,132846.66,0.6142,0.8467,Acentria Group,Operational,778836.68,0.03778,257908.56,216308.86,132846.66,Other
POL-110823,2016-01-11,Ghana,Aviation,1295321.48,1135200.07,696099.94,0.6132,0.8501,Continental Re,Operational,7542714.23,0.02578,1295321.48,1135200.07,696099.94,Other
POL-114639,2016-01-12,Ethiopia,Engineering,1175536.97,887591.12,476365.69,0.5367,0.7769,Continental Re,Credit,4124220.25,0.02942,1175536.97,887591.12,476365.69,Other
POL-104631,2016-01-12,Egypt,Agriculture,1622166.31,1454747.12,779975.19,0.5362,0.8467,Continental Re,Cyber,6214163.07,0.03441,1622166.31,1454747.12,779975.19,Other
POL-110223,2016-01-12,Rwanda,Agriculture,1728461.13,1283535.48,725452.0,0.5652,0.7363,Coastal Mutual,Operational,7319337.5,0.03988,1728461.13,1283535.48,725452.0,Other
POL-116733,2016-01-12,Egypt,Cyber,861374.12,790536.38,534637.9,0.6763,0.9939,Metro Insurers,Weather,6066727.69,0.01146,861374.12,790536.38,534637.9,Other
POL-103259,2016-01-12,Tanzania,Engineering,412996.32,387614.05,239610.04,0.6182,0.8021,Coastal Mutual,Market,2643584.28,0.04132,412996.32,387614.05,239610.04,Other
POL-110219,2016-01-12,Ethiopia,Engineering,362184.62,336565.04,248154.35,0.7373,0.8939,Metro Insurers,Credit,1533124.62,0.02762,362184.62,336565.04,248154.35,Other
POL-107349,2016-01-12,Ghana,Aviation,1267605.42,960970.82,497374.52,0.5176,0.6808,Metro Insurers,Market,6683373.85,0.02729,1267605.42,960970.82,497374.52,Other
POL-108413,2016-01-13,Ghana,Liability,1141878.49,824539.36,327287.1,0.3969,0.6231,Continental Re,Weather,6311873.66,0.03982,1141878.49,824539.36,327287.1,Other
POL-111222,2016-01-13,Uganda,Motor,1386416.12,1047112.94,652124.7,0.6228,0.936,Zenith Cover,Market,5452378.9,0.01457,1386416.12,1047112.94,652124.7,Other
POL-115250,2016-01-13,Ghana,Property,1011387.26,819442.59,439993.44,0.5369,0.7822,SunTrust Re,Operational,7982819.06,0.0393,1011387.26,819442.59,439993.44,Other
POL-102440,2016-01-13,South Africa,Liability,1234172.55,1064828.43,524957.29,0.493,0.7946,Zenith Cover,Weather,9709334.1,0.00904,1234172.55,1064828.43,524957.29,Other
POL-115499,2016-01-13,Nigeria,Motor,282818.53,236793.71,155292.35,0.6558,0.9548,Acentria Group,Operational,1789777.29,0.03198,282818.53,236793.71,155292.35,Other
POL-101824,2016-01-14,Ethiopia,Property,972281.1,752461.85,427048.6,0.5675,0.7565,SunTrust Re,Operational,3579283.08,0.0357,972281.1,752461.85,427048.6,Other
POL-105441,2016-01-14,Kenya,Aviation,461334.43,376659.62,209025.08,0.5549,0.8212,Zenith Cover,Market,3636986.11,0.04332,461334.43,376659.62,209025.08,Africa
POL-103442,2016-01-14,Kenya,Marine,314182.15,237003.89,139057.83,0.5867,0.7932,Pinnacle Assurance,Weather,1712110.15,0.03775,314182.15,237003.89,139057.83,Africa
POL-108350,2016-01-14,Rwanda,Aviation,1082956.28,987537.25,583111.78,0.5905,0.7943,Acentria Group,Credit,4803300.69,0.02486,1082956.28,987537.25,583111.78,Other
POL-115668,2016-01-14,Nigeria,Engineering,1580701.19,1416469.06,622432.33,0.4394,0.6513,SunTrust Re,Cyber,5692636.42,0.02147,1580701.19,1416469.06,622432.33,Other
POL-107049,2016-01-15,Egypt,Aviation,1228107.09,1103271.16,666473.9,0.6041,0.8331,Continental Re,Credit,6200397.68,0.03531,1228107.09,1103271.16,666473.9,Other
POL-109943,2016-01-15,Nigeria,Cyber,1720558.81,1334588.73,812986.62,0.6092,0.8112,Zenith Cover,Cyber,10185674.16,0.03161,1720558.81,1334588.73,812986.62,Other
POL-107767,2016-01-15,Ethiopia,Engineering,1149498.91,887822.42,423477.02,0.477,0.6939,Pinnacle Assurance,Cyber,7499688.58,0.03631,1149498.91,887822.42,423477.02,Other
POL-111021,2016-01-15,Nigeria,Marine,1761721.7,1653990.36,922478.84,0.5577,0.7312,Pinnacle Assurance,Market,6976254.6,0.01976,1761721.7,1653990.36,922478.84,Other
POL-117529,2016-01-15,Uganda,Property,998647.73,780162.82,464576.67,0.5955,0.7818,SunTrust Re,Market,6564969.34,0.02054,998647.73,780162.82,464576.67,Other
POL-104141,2016-01-16,Zambia,Liability,333893.15,271004.2,138703.58,0.5118,0.8161,Metro Insurers,Credit,1984420.36,0.0231,333893.15,271004.2,138703.58,Other
POL-117031,2016-01-16,Ghana,Engineering,43763.86,36759.03,20622.52,0.561,0.7277,Coastal Mutual,Weather,263322.21,0.04346,43763.86,36759.03,20622.52,Other
