policy_id,period,region,line_of_business,claims_paid,net_earned_premium,loss_ratio,client_name,risk_category,cause_of_loss,claim_status,settlement_date,gwp_usd,nep_usd,claims_paid_usd,combined_ratio,exposure,premium_rate,continent
CLM-407840,2006-01-01,Africa,Liability,5173.37,7471.17,0.6924,Horizon Underwriters,Market,Flood,Closed,2006-03-17,,7471.17,5173.37,0.6924,,1.0,Africa
CLM-407691,2006-01-01,Australia & Pacific,Agriculture,54711.35,109146.43,0.5013,Nile Star Assurance (Africa),Operational,Fire,Closed,2006-01-26,,109146.43,54711.35,0.5013,,1.0,Oceania
CLM-409976,2006-01-02,North America,Life,22114.37,34629.54,0.6386,Pinnacle Assurance,Operational,Marine Peril,Closed,2006-01-21,,34629.54,22114.37,0.6386,,1.0,North America
CLM-412323,2006-01-03,Middle East & Africa,Motor,8786.77,13351.16,0.6581,Atlas Underwriters (Europe),Credit,Theft,Closed,2006-02-25,,13351.16,8786.77,0.6581,,1.0,Asia
CLM-400916,2006-01-03,North America,Property,15678.46,33664.66,0.4657,Pinnacle Assurance,Weather,Cyber Breach,Under Review,,,33664.66,15678.46,0.4657,,1.0,North America
CLM-401314,2006-01-04,Australia & Pacific,Aviation,2112.56,2355.79,0.8968,Acentria Group,Credit,Windstorm,Closed,2006-05-10,,2355.79,2112.56,0.8968,,1.0,Oceania
CLM-400764,2006-01-04,North America,Marine,18491.58,26606.11,0.695,Pacifica Cover (Oceania),Political,Machinery Breakdown,Under Review,,,26606.11,18491.58,0.695,,1.0,North America
CLM-405949,2006-01-04,Nordics,Marine,35179.75,42348.01,0.8307,Zenith Cover,Weather,Marine Peril,Closed,2006-09-03,,42348.01,35179.75,0.8307,,1.0,Europe
CLM-406733,2006-01-05,Asia Pacific,Liability,24445.53,67832.18,0.3604,Horizon Underwriters,Nat Cat,Machinery Breakdown,Closed,2006-03-14,,67832.18,24445.53,0.3604,,1.0,Asia
CLM-411129,2006-01-05,Caribbean,Aviation,7486.86,18047.53,0.4148,Atlas Underwriters (Europe),Nat Cat,Liability Claim,Under Review,,,18047.53,7486.86,0.4148,,1.0,North America
